year,region_id,Region_name,ons_code,road_category_id,road_category_name,total_link_length_km,total_link_length_miles,all_motor_vehicles
1997,6,London,E12000007,5,M,12715.4,7900.98,7109087175
1997,7,East of England,E12000006,1,TM,258.564,160.66,4779108119
1997,7,East of England,E12000006,3,TA,1148.283,713.51,6516553593
1997,7,East of England,E12000006,4,PA,2728.543,1695.44,8114547644
1997,7,East of England,E12000006,5,M,34869.5,21666.9,11662232883
1997,8,Yorkshire and the Humber,E12000003,1,TM,354.217,220.1,4637764340
1997,8,Yorkshire and the Humber,E12000003,2,PM,3.499,2.17,55817888.53
1997,8,Yorkshire and the Humber,E12000003,3,TA,709.256,440.71,3310819247
1997,8,Yorkshire and the Humber,E12000003,4,PA,2568.034,1595.7,6875781070
1997,8,Yorkshire and the Humber,E12000003,5,M,27728.1,17229.44,8222064597
1997,9,South East,E12000008,1,TM,630.894,392.02,11767588133
1997,9,South East,E12000008,2,PM,10.596,6.58,155461798.7
1997,9,South East,E12000008,3,TA,864.351,537.08,6290876468
1997,9,South East,E12000008,4,PA,4284.263,2662.12,13937358514
1997,9,South East,E12000008,5,M,41192.3,25595.71,16344497960
1997,10,West Midlands,E12000005,1,TM,373.701,232.21,6379212687
1997,10,West Midlands,E12000005,2,PM,4.299,2.67,94740212.16
1997,10,West Midlands,E12000005,3,TA,846.281,525.85,3644097531
1997,10,West Midlands,E12000005,4,PA,2668.024,1657.83,7048744615
1997,10,West Midlands,E12000005,5,M,28183.5,17512.41,10365868901
1997,11,North East,E12000001,1,TM,54.435,33.82,580530398.1
1997,11,North East,E12000001,2,PM,2.399,1.49,34999809.24
1997,11,North East,E12000001,3,TA,441.337,274.23,2225317901
1997,11,North East,E12000001,4,PA,1306.401,811.76,3369784308
1997,11,North East,E12000001,5,M,14143.5,8788.36,4864473102
1998,1,South West,E12000009,1,TM,324.103,201.39,4364283621
1998,1,South West,E12000009,3,TA,997.318,619.7,3998618553
1998,1,South West,E12000009,4,PA,3907.464,2427.99,8621961447
1998,1,South West,E12000009,5,M,43971.7,27322.75,9688377093
1998,2,East Midlands,E12000004,1,TM,192.102,119.37,3631971850
1998,2,East Midlands,E12000004,3,TA,1220.239,758.22,5560913933
1998,2,East Midlands,E12000004,4,PA,2592.165,1610.7,6082946165
1998,2,East Midlands,E12000004,5,M,26970.7,16758.82,7530250478
1998,3,Scotland,S92000003,1,TM,360.59,224.06,3151594731
1998,3,Scotland,S92000003,3,TA,2831.538,1759.44,5699872482
1998,3,Scotland,S92000003,4,PA,7469.586,4641.39,7204388187
1998,3,Scotland,S92000003,5,M,48385.7,30065.48,8141212907
1998,4,Wales,W92000004,1,TM,140.135,87.08,1685967544
1998,4,Wales,W92000004,3,TA,1515.89,941.93,3515540525
1998,4,Wales,W92000004,4,PA,2602.643,1617.21,4386566088
1998,4,Wales,W92000004,5,M,28566.2,17750.21,5631206230
1998,5,North West,E12000002,1,TM,595.248,369.87,8976525093
1998,5,North West,E12000002,2,PM,23.777,14.77,211507218.5
1998,5,North West,E12000002,3,TA,824.456,512.29,2985210382
1998,5,North West,E12000002,4,PA,3150.209,1957.45,9123032427
1998,5,North West,E12000002,5,M,31766.4,19738.73,10804250250
1998,6,London,E12000007,1,TM,70.713,43.94,1557099926
1998,6,London,E12000007,3,TA,322.229,200.22,3900861197
1998,6,London,E12000007,4,PA,1378.611,856.63,7133584625
1998,6,London,E12000007,5,M,12751.1,7923.17,7228122943
1998,7,East of England,E12000006,1,TM,261.922,162.75,4882976845
1998,7,East of England,E12000006,3,TA,1136.965,706.48,6583135081
1998,7,East of England,E12000006,4,PA,2740.958,1703.15,8272388950
1998,7,East of England,E12000006,5,M,34934.6,21707.35,11796843661
1998,8,Yorkshire and the Humber,E12000003,1,TM,358.814,222.96,4871375364
1998,8,Yorkshire and the Humber,E12000003,2,PM,3.453,2.15,57189690.95
1998,8,Yorkshire and the Humber,E12000003,3,TA,702.236,436.35,3330081302
1998,8,Yorkshire and the Humber,E12000003,4,PA,2578.301,1602.08,7017119954
1998,8,Yorkshire and the Humber,E12000003,5,M,27786.2,17265.54,8333456058
1998,9,South East,E12000008,1,TM,639.081,397.11,12341318213
1998,9,South East,E12000008,2,PM,10.458,6.5,159809893.3
1998,9,South East,E12000008,3,TA,855.815,531.78,6420547240
1998,9,South East,E12000008,4,PA,4302.909,2673.7,14174519988
1998,9,South East,E12000008,5,M,41277.6,25648.71,16547072084
1998,10,West Midlands,E12000005,1,TM,378.551,235.22,6643315317
1998,10,West Midlands,E12000005,2,PM,4.242,2.64,95433166.56
1998,10,West Midlands,E12000005,3,TA,837.898,520.65,3687937757
1998,10,West Midlands,E12000005,4,PA,2678.916,1664.6,7120003148
1998,10,West Midlands,E12000005,5,M,28241.1,17548.21,10508523280
1998,11,North East,E12000001,1,TM,55.141,34.26,598871164.9
1998,11,North East,E12000001,2,PM,2.368,1.47,35869448.67
1998,11,North East,E12000001,3,TA,436.977,271.52,2244144377
1998,11,North East,E12000001,4,PA,1311.913,815.18,3415671487
1998,11,North East,E12000001,5,M,14173.4,8806.94,4939694322
1999,1,South West,E12000009,1,TM,326.8,203.06,4491894958
1999,1,South West,E12000009,3,TA,999.3,620.94,4022043410
1999,1,South West,E12000009,4,PA,3922.4,2437.27,8727678435
1999,1,South West,E12000009,5,M,44050.4,27371.65,9895299187
1999,2,East Midlands,E12000004,1,TM,193.7,120.36,3818461103
1999,2,East Midlands,E12000004,3,TA,1222.05,759.35,5732521856
1999,2,East Midlands,E12000004,4,PA,2603.01,1617.44,6141620936
1999,2,East Midlands,E12000004,5,M,27022.5,16791,7698954917
1999,3,Scotland,S92000003,1,TM,363.59,225.92,3208731607
1999,3,Scotland,S92000003,3,TA,2837.27,1763,5773458174
1999,3,Scotland,S92000003,4,PA,7495.31,4657.37,7259898375
1999,3,Scotland,S92000003,5,M,48469.3,30117.43,8322027831
1999,4,Wales,W92000004,1,TM,141.3,87.8,1765885643
1999,4,Wales,W92000004,3,TA,1519,943.86,3523495985
1999,4,Wales,W92000004,4,PA,2612.89,1623.57,4429316389
1999,4,Wales,W92000004,5,M,28615.9,17781.1,5759211945
1999,5,North West,E12000002,1,TM,600.2,372.95,9229747610
1999,5,North West,E12000002,2,PM,24.1,14.98,209226560
1999,5,North West,E12000002,3,TA,825.23,512.77,2996700287
1999,5,North West,E12000002,4,PA,3168.58,1968.86,9108248134
1999,5,North West,E12000002,5,M,31839.8,19784.33,11062208843
1999,6,London,E12000007,1,TM,71.3,44.3,1556558485
1999,6,London,E12000007,3,TA,319.7,198.65,4055850600
1999,6,London,E12000007,4,PA,1390.7,864.14,7287205031
1999,6,London,E12000007,5,M,12787.1,7945.54,7415384860
1999,7,East of England,E12000006,1,TM,264.1,164.1,4981643475
1999,7,East of England,E12000006,3,TA,1138.87,707.66,6765317060
1999,7,East of England,E12000006,4,PA,2753.23,1710.78,8352204724
1999,7,East of England,E12000006,5,M,34999.5,21747.68,12057999016
1999,8,Yorkshire and the Humber,E12000003,1,TM,361.8,224.81,4950321227
1999,8,Yorkshire and the Humber,E12000003,2,PM,3.5,2.17,55861777.22
1999,8,Yorkshire and the Humber,E12000003,3,TA,702.95,436.79,3370973914
1999,8,Yorkshire and the Humber,E12000003,4,PA,2591.53,1610.3,7016475212
1999,8,Yorkshire and the Humber,E12000003,5,M,27846.5,17303.01,8533629196
1999,9,South East,E12000008,1,TM,644.4,400.41,12725753652
1999,9,South East,E12000008,2,PM,10.6,6.59,166358249.7
1999,9,South East,E12000008,3,TA,857,532.52,6581739116
1999,9,South East,E12000008,4,PA,4323.18,2686.3,14254490685
1999,9,South East,E12000008,5,M,41364.1,25702.46,16926429846
1999,10,West Midlands,E12000005,1,TM,381.7,237.18,6685007302
1999,10,West Midlands,E12000005,2,PM,4.3,2.67,83221786.64
1999,10,West Midlands,E12000005,3,TA,838.7,521.14,3711975573
1999,10,West Midlands,E12000005,4,PA,2692.39,1672.97,7184197423
1999,10,West Midlands,E12000005,5,M,28298.2,17583.69,10756200876
1999,11,North East,E12000001,1,TM,55.6,34.55,597752959
1999,11,North East,E12000001,2,PM,2.4,1.49,34799858.2
